sent_id,word_id,token,cpostag,postag,head,deprel,deps,parent_token,parent_deprel,stem_pos,parent_stem,parent_stem_pos
21,13,the,DET,DT,14,det,13:det|14:nsubj,wolf,nsubj,the_det,wolf,wolf_nsubj
21,14,wolf,NOUN,NN,15,nsubj,14:nsubj|15:advcl,gobbled,advcl,wolf_nsubj,gobbled,gobbled_advcl
21,15,gobbled,VERB,VBD,5,advcl,15:advcl|5:ROOT,have,ROOT,gobbled_advcl,have,have_ROOT
21,16,her,PRON,PRP,15,dobj,16:dobj|15:advcl,gobbled,advcl,her_dobj,gobbled,gobbled_advcl
21,17,up,PRT,RP,15,prt,17:prt|15:advcl,gobbled,advcl,up_prt,gobbled,gobbled_advcl
22,1,the,DET,DT,2,det,1:det|2:nsubj,wolf,nsubj,the_det,wolf,wolf_nsubj
22,2,wolf,NOUN,NN,3,nsubj,2:nsubj|3:ROOT,let,ROOT,wolf_nsubj,let,let_ROOT
22,3,NA,VERB,VBD,0,ROOT,3:ROOT|0:NA,NA,NA,let_ROOT,NA,NA_NA
22,4,out,PRT,RP,3,prt,4:prt|3:ROOT,let,ROOT,out_prt,let,let_ROOT
22,5,a,DET,DT,7,det,5:det|7:dobj,burp,dobj,a_det,burp,burp_dobj
22,6,satisfied,ADJ,JJ,7,amod,6:amod|7:dobj,burp,dobj,satisfied_amod,burp,burp_dobj
22,7,burp,NOUN,NN,3,dobj,7:dobj|3:ROOT,let,ROOT,burp_dobj,let,let_ROOT
22,9,and,CONJ,CC,3,cc,9:cc|3:ROOT,let,ROOT,and_cc,let,let_ROOT
22,10,then,ADV,RB,3,advmod,10:advmod|3:ROOT,let,ROOT,then_advmod,let,let_ROOT
22,11,poked,VERB,VBD,3,conj,11:conj|3:ROOT,let,ROOT,poked_conj,let,let_ROOT
22,12,through,ADP,IN,11,prep,12:prep|11:conj,poked,conj,through_prep,poked,poked_conj
22,13,granny,NOUN,NNP,15,poss,13:poss|15:pobj,wardrobe,pobj,granny_poss,wardrobe,wardrobe_pobj
22,14,'s,PRT,POS,13,possessive,14:possessive|13:poss,Granny,poss,'s_possessive,Granny,Granny_poss
22,15,wardrobe,NOUN,NN,12,pobj,15:pobj|12:prep,through,prep,wardrobe_pobj,through,through_prep
22,16,to,PRT,TO,17,aux,16:aux|17:xcomp,find,xcomp,to_aux,find,find_xcomp
22,17,find,VERB,VB,11,xcomp,17:xcomp|11:conj,poked,conj,find_xcomp,poked,poked_conj
22,18,a,DET,DT,19,det,18:det|19:dobj,nightgown,dobj,a_det,nightgown,nightgown_dobj
22,19,nightgown,NOUN,NN,17,dobj,19:dobj|17:xcomp,find,xcomp,nightgown_dobj,find,find_xcomp
22,20,that,DET,WDT,22,dobj,20:dobj|22:rcmod,liked,rcmod,that_dobj,liked,liked_rcmod
22,21,he,PRON,PRP,22,nsubj,21:nsubj|22:rcmod,liked,rcmod,he_nsubj,liked,liked_rcmod
22,22,liked,VERB,VBD,19,rcmod,22:rcmod|19:dobj,nightgown,dobj,liked_rcmod,nightgown,nightgown_dobj
23,1,he,PRON,PRP,2,nsubj,1:nsubj|2:ROOT,added,ROOT,he_nsubj,added,added_ROOT
23,2,NA,VERB,VBD,0,ROOT,2:ROOT|0:NA,NA,NA,added_ROOT,NA,NA_NA
23,3,a,DET,DT,6,det,3:det|6:dobj,cap,dobj,a_det,cap,cap_dobj
